           t           p         gam          mw
   2.7479E+03  3.9816E+00  1.1345E+00  3.1076E+01
   2.1487E+03  4.9078E-01  1.1733E+00  3.1880E+01
   2.9320E+03  1.0342E+01  1.1351E+00  3.0844E+01
   2.7720E+03  5.9656E+00  1.1376E+00  3.1149E+01
   2.1485E+03  7.3102E-01  1.1777E+00  3.1901E+01
   2.9533E+03  1.3789E+01  1.1372E+00  3.0902E+01
   2.7885E+03  7.9475E+00  1.1400E+00  3.1199E+01
   2.1480E+03  9.6992E-01  1.1806E+00  3.1915E+01
   2.9696E+03  1.7237E+01  1.1388E+00  3.0947E+01
   2.8010E+03  9.9280E+00  1.1418E+00  3.1237E+01
   2.1474E+03  1.2079E+00  1.1827E+00  3.1924E+01
   2.9828E+03  2.0684E+01  1.1401E+00  3.0983E+01
   2.8110E+03  1.1907E+01  1.1433E+00  3.1267E+01
   2.1468E+03  1.4451E+00  1.1844E+00  3.1931E+01
   2.9937E+03  2.4132E+01  1.1413E+00  3.1013E+01
   2.8192E+03  1.3885E+01  1.1445E+00  3.1292E+01
   2.1463E+03  1.6817E+00  1.1857E+00  3.1937E+01
   3.0031E+03  2.7579E+01  1.1423E+00  3.1039E+01
   2.8263E+03  1.5863E+01  1.1456E+00  3.1314E+01
   2.1458E+03  1.9178E+00  1.1868E+00  3.1941E+01
   3.0113E+03  3.1026E+01  1.1431E+00  3.1062E+01
   2.8324E+03  1.7840E+01  1.1466E+00  3.1333E+01
   2.1453E+03  2.1535E+00  1.1878E+00  3.1945E+01
   3.0185E+03  3.4474E+01  1.1439E+00  3.1082E+01
   2.8378E+03  1.9816E+01  1.1475E+00  3.1349E+01
   2.1448E+03  2.3889E+00  1.1887E+00  3.1949E+01
